name,description,category,date,location,image_path,thumbnail_path
"白鹡鸰","白鹡鸰 @ 楼村湿地公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO1600, f/6.3, 1/1000s","Wildlife","2024 年 11 月","深圳","/gallery/2024/DSC01515-已增强-降噪jpg","/gallery/2024/DSC01515-已增强-降噪_thumbs.jpg"
"白鹡鸰","白鹡鸰 @ 楼村湿地公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO400, f/6.3, 1/1000s","Wildlife","2024 年 11 月","深圳","/gallery/2024/DSC01548-已增强-降噪jpg","/gallery/2024/DSC01548-已增强-降噪_thumbs.jpg"
"斑纹鸟","斑纹鸟 @ 楼村湿地公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO200, f/6.3, 1/1000s","Wildlife","2024 年 11 月","深圳","/gallery/2024/DSC01577-已增强-降噪.jpg","/gallery/2024/DSC01577-已增强-降噪_thumbs.jpg"
"小白鹭","小白鹭 @ 新陂头南湿地公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO250, f/6.3, 1/1600s","Wildlife","2024 年 11 月","深圳","/gallery/2024/DSC01619-已增强-降噪.jpg","/gallery/2024/DSC01619-已增强-降噪_thumbs.jpg"
"一行白鹭","一行白鹭 @ 新陂头南湿地公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO320, f/6.3, 1/1600s","Wildlife","2024 年 11 月","深圳","/gallery/2024/DSC01668-已增强-降噪.jpg","/gallery/2024/DSC01668-已增强-降噪_thumbs.jpg"
"黑领椋鸟","黑领椋鸟 @ 深圳大学丽湖校区 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO2000, f/6.3, 1/250s","Wildlife","2024 年 11 月","深圳","/gallery/2024/DSC01723-已增强-降噪.jpg","/gallery/2024/DSC01723-已增强-降噪_thumbs.jpg"
"鹊鸲","鹊鸲 @ 深圳市人才研修院 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO3200, f/6.3, 1/1250s","Wildlife","2024 年 11 月","深圳","/gallery/2024/DSC01745-已增强-降噪.jpg","/gallery/2024/DSC01745-已增强-降噪_thumbs.jpg"
"乌鸫","乌鸫 @ 深圳湾公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO1000, f/6.3, 1/1000s","Wildlife","2024 年 12 月","深圳","/gallery/2024/DSC02694-已增强-降噪.jpg","/gallery/2024/DSC02694-已增强-降噪_thumbs.jpg"
"噪鹃","噪鹃 @ 深圳湾公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO2500, f/6.3, 1/1000s","Wildlife","2024 年 12 月","深圳","/gallery/2024/DSC02705-已增强-降噪.jpg","/gallery/2024/DSC02705-已增强-降噪_thumbs.jpg"
"丝光椋鸟","丝光椋鸟 @ 深圳湾公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO6400, f/6.3, 1/1000s","Wildlife","2024 年 12 月","深圳","/gallery/2024/DSC02753-已增强-降噪.jpg","/gallery/2024/DSC02753-已增强-降噪_thumbs.jpg"
"红嘴蓝鹊","红嘴蓝鹊 @ 深圳湾公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO5000, f/6.3, 1/1000s","Wildlife","2024 年 12 月","深圳","/gallery/2024/DSC02834-已增强-降噪.jpg","/gallery/2024/DSC02834-已增强-降噪_thumbs.jpg"
"红嘴鸥","红嘴鸥 @ 深圳湾公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO200, f/6.3, 1/1600s","Wildlife","2024 年 12 月","深圳","/gallery/2024/DSC02912-已增强-降噪.jpg","/gallery/2024/DSC02912-已增强-降噪_thumbs.jpg"
"暗绿绣眼鸟","暗绿绣眼鸟 @ 深圳湾公园 <br> Shot on Sony A7RV with TAMRON 50-400mm f/4.5-6.3 , 400mm, ISO800, f/6.3, 1/1250s","Wildlife","2024 年 12 月","深圳","/gallery/2024/DSC02967-已增强-降噪.jpg","/gallery/2024/DSC02967-已增强-降噪_thumbs.jpg"
